auction_date,bid_date,bidder_id,bid_id,bid_amount,site_name,auction_id,bstock_condition_name,bstock_category_name
9/13/2022,2022-09-10 05:51:34.000000 UTC,61841697c8ce886da7fc723d,17799573,1000,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:21:18.000000 UTC,62e329abff03c2000d83079d,17817200,1831,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:48:48.000000 UTC,62e329abff03c2000d83079d,17817437,2401,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:48:56.000000 UTC,62e329abff03c2000d83079d,17817438,2521,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-07 20:46:33.000000 UTC,5a4cd084e3d4600d289758a7,17771200,150,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:48:38.000000 UTC,62e329abff03c2000d83079d,17817435,2302,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:21:59.000000 UTC,62e329abff03c2000d83079d,17817208,2111,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-10 05:51:54.000000 UTC,61841697c8ce886da7fc723d,17799574,1777,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-08 16:27:24.000000 UTC,5e85a1d7c8ce886c84641f51,17776752,900,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-13 15:22:08.000000 UTC,62e329abff03c2000d83079d,17817210,2202,ABC,1640485,Like New,Furniture
9/13/2022,2022-09-12 14:18:27.000000 UTC,626ead6dff03c2000b200ba3,17804109,450,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:20:56.000000 UTC,5b3e39d8e3d4600e82754909,17817795,1500,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-12 23:10:33.000000 UTC,54c35627421aa90e95616a59,17814089,725,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 17:02:52.000000 UTC,5b3e39d8e3d4600e82754909,17818767,1725,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:20:14.000000 UTC,5b3e39d8e3d4600e82754909,17817777,1075,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 17:05:34.000000 UTC,5b3e39d8e3d4600e82754909,17818847,1800,ABC,1640486,Brand New,Consumer Electronics
9/13/2022,2022-09-13 16:20:36.000000 UTC,5b3e39d8e3d4600e82754909,17817788,1300,ABC,1640486,Brand New,Consumer Electronics
