auction_date_transformed,auction_id,bstock_category_name,bid_date,bid_id,bidder_id,bid_amount_transformed
2022-09-13,1640486,"Consumer Electronics","2022-09-10 17:57:08.000000 UTC",17800240,60c8416bc8ce886dac91b95b,1000
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:20:14.000000 UTC",17817777,5b3e39d8e3d4600e82754909,1075
2022-09-13,1640486,"Consumer Electronics","2022-09-13 15:23:10.000000 UTC",17817224,62e329abff03c2000d83079d,1111
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:12:07.000000 UTC",17817670,62e329abff03c2000d83079d,1112
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:20:26.000000 UTC",17817779,5b3e39d8e3d4600e82754909,1200
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:20:36.000000 UTC",17817788,5b3e39d8e3d4600e82754909,1300
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:20:56.000000 UTC",17817795,5b3e39d8e3d4600e82754909,1500
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:12:28.000000 UTC",17817678,62e329abff03c2000d83079d,1552
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:21:27.000000 UTC",17817817,5b3e39d8e3d4600e82754909,1650
2022-09-13,1640486,"Consumer Electronics","2022-09-13 17:02:52.000000 UTC",17818767,5b3e39d8e3d4600e82754909,1725
2022-09-13,1640486,"Consumer Electronics","2022-09-13 17:05:34.000000 UTC",17818847,5b3e39d8e3d4600e82754909,1800
2022-09-13,1640486,"Consumer Electronics","2022-09-13 17:07:12.000000 UTC",17818906,5b3e39d8e3d4600e82754909,1875
2022-09-13,1640486,"Consumer Electronics","2022-09-13 16:59:30.000000 UTC",17818639,62e329abff03c2000d83079d,2667
2022-09-13,1640487,"Consumer Electronics","2022-09-07 19:35:56.000000 UTC",17769064,62e329abff03c2000d83079d,100
2022-09-13,1640487,"Consumer Electronics","2022-09-08 21:47:47.000000 UTC",17789177,5d07ecfde3d4600e829de625,125
2022-09-13,1640487,"Consumer Electronics","2022-09-11 01:05:18.000000 UTC",17800998,63151d27feb3d70010cac235,280
2022-09-13,1640487,"Consumer Electronics","2022-09-11 01:05:28.000000 UTC",17800999,63151d27feb3d70010cac235,450
2022-09-13,1640487,"Consumer Electronics","2022-09-10 18:00:14.000000 UTC",17800248,60c8416bc8ce886dac91b95b,500
2022-09-13,1640487,"Consumer Electronics","2022-09-11 01:05:39.000000 UTC",17801000,63151d27feb3d70010cac235,550
2022-09-13,1640487,"Consumer Electronics","2022-09-12 14:20:45.000000 UTC",17804139,626ead6dff03c2000b200ba3,550
2022-09-13,1640487,"Consumer Electronics","2022-09-13 15:49:20.000000 UTC",17817440,62e329abff03c2000d83079d,622
2022-09-13,1640488,"Consumer Electronics","2022-09-07 18:59:05.000000 UTC",17767889,62a236bfff03c2000d783c74,101
2022-09-13,1640488,"Consumer Electronics","2022-09-07 19:04:28.000000 UTC",17768026,54c35849421aa90e9061a6d5,150
2022-09-13,1640488,"Consumer Electronics","2022-09-07 19:14:49.000000 UTC",17768394,62e329abff03c2000d83079d,151
2022-09-13,1640488,"Consumer Electronics","2022-09-07 20:10:30.000000 UTC",17770075,62a236bfff03c2000d783c74,250
2022-09-13,1640488,"Consumer Electronics","2022-09-07 19:46:07.000000 UTC",17769360,54c35627421aa90e95616a59,275
2022-09-13,1640488,"Consumer Electronics","2022-09-08 21:45:17.000000 UTC",17789125,5d07ecfde3d4600e829de625,350
2022-09-13,1640488,"Consumer Electronics","2022-09-08 21:45:26.000000 UTC",17789127,5d07ecfde3d4600e829de625,450
2022-09-13,1640488,"Consumer Electronics","2022-09-08 16:29:07.000000 UTC",17776783,5e85a1d7c8ce886c84641f51,575
2022-09-13,1640488,"Consumer Electronics","2022-09-09 18:30:37.000000 UTC",17794878,5e38864ac8ce886c84610b35,625
2022-09-13,1640488,"Consumer Electronics","2022-09-10 05:50:31.000000 UTC",17799571,61841697c8ce886da7fc723d,675
2022-09-13,1640488,"Consumer Electronics","2022-09-08 22:07:59.000000 UTC",17789512,61659a6cc8ce886da7f6cf1f,732
